movie_id,genre_id
11777,35.0
11777,18.0
11777,10749.0
628,27.0
628,10749.0
87729,18.0
87729,10749.0
18713,35.0
18713,80.0
6280,35.0
6280,10751.0
6280,10749.0
9061,28.0
9061,18.0
9061,9648.0
9061,53.0
37108,12.0
37108,14.0
37108,35.0
37108,878.0
37108,10751.0
6071,28.0
6071,80.0
6071,18.0
6071,53.0
11,12.0
11,28.0
11,878.0
9587,18.0
9587,10749.0
19101,18.0
19101,10751.0
19101,14.0
49980,18.0
17961,80.0
17961,18.0
18183,18.0
18183,10749.0
4476,12.0
4476,18.0
4476,10749.0
4476,10752.0
11008,12.0
11008,35.0
11008,10751.0
47504,28.0
47504,18.0
32325,80.0
32325,18.0
43742,18.0
43742,10749.0
28313,18.0
11318,35.0
11318,18.0
11318,36.0
3036,18.0
3036,27.0
3036,878.0
3036,10749.0
40490,28.0
40490,35.0
40490,10751.0
24070,35.0
24070,18.0
24070,10749.0
8986,35.0
8986,10749.0
10510,14.0
10510,18.0
10510,10751.0
17402,35.0
17402,10749.0
38722,35.0
38722,18.0
8438,80.0
8438,18.0
11593,18.0
11593,35.0
1945,18.0
1945,53.0
39310,80.0
39310,18.0
109560,28.0
109560,53.0
109560,80.0
109560,18.0
56428,27.0
63105,878.0
63105,28.0
63105,53.0
131957,18.0
131957,10749.0
241,80.0
241,53.0
241,18.0
9058,35.0
9058,18.0
9058,10749.0
527,18.0
18220,18.0
18220,10749.0
18220,53.0
6950,28.0
6950,18.0
6950,878.0
6950,53.0
101,53.0
101,80.0
101,18.0
63020,35.0
63020,18.0
63020,10749.0
2307,35.0
2307,18.0
2307,10749.0
680,53.0
680,80.0
41478,18.0
25296,35.0
25296,18.0
40156,18.0
40156,10749.0
11450,36.0
11450,18.0
30304,18.0
30304,36.0
10452,18.0
10452,36.0
12106,28.0
12106,37.0
161495,18.0
161495,35.0
3586,18.0
3586,35.0
110,18.0
110,9648.0
110,10749.0
108,18.0
108,10402.0
108,9648.0
109,35.0
109,18.0
109,9648.0
159185,18.0
36357,35.0
36357,10751.0
36357,10770.0
92769,27.0
92769,18.0
28033,35.0
28033,18.0
22586,16.0
14334,18.0
14334,10751.0
14334,14.0
2636,28.0
2636,53.0
2164,28.0
2164,12.0
2164,878.0
11395,14.0
11395,18.0
11395,35.0
11395,10751.0
278,18.0
278,80.0
9905,80.0
9905,53.0
87078,18.0
87078,53.0
12527,35.0
12527,18.0
20306,80.0
20306,35.0
36614,35.0
36614,18.0
36614,10749.0
27993,35.0
31439,18.0
31439,10749.0
31439,10752.0
9067,28.0
9067,35.0
9067,14.0
9067,878.0
9059,27.0
9059,35.0
9059,53.0
193,878.0
193,28.0
193,12.0
193,53.0
25066,80.0
25066,27.0
25066,53.0
46797,18.0
46797,10749.0
12122,53.0
12122,27.0
12122,878.0
11381,35.0
32636,18.0
32636,10749.0
36141,53.0
36141,80.0
95963,18.0
95963,10752.0
1587,10749.0
1587,18.0
9271,28.0
9271,80.0
9271,878.0
9271,53.0
2064,35.0
2064,18.0
2064,10749.0
19855,18.0
60855,35.0
60855,10749.0
236,18.0
236,35.0
236,10749.0
48287,35.0
48287,18.0
48287,10751.0
3049,35.0
3049,9648.0
2759,18.0
2759,35.0
12635,18.0
12635,10402.0
10497,53.0
10497,18.0
10497,10749.0
11382,28.0
11382,35.0
11382,53.0
9331,28.0
9331,18.0
9331,53.0
10731,18.0
10731,53.0
10731,80.0
10731,9648.0
10464,35.0
10464,18.0
10464,10751.0
10464,10749.0
34152,35.0
34152,18.0
9495,14.0
9495,28.0
9495,53.0
29973,18.0
888,14.0
888,35.0
888,10751.0
